Facility Name,Address Line 1,City/Town,State,ZIP Code,Beliefs & Values Addressed (if desired by the patient),"Burdensome transitions, Type 1 (% live discharges)","Burdensome transitions, Type 2 (% live discharges)",CHC/GIP provided (% days),Early live discharges (% live discharges),Gaps in nursing visits (% elections),Hospice Care Index Overall Score,Hospice Visits in the Last Days of Life,Hospice and Palliative Care Composite Process Measure,Hospice and Palliative Care Dyspnea Screening,Hospice and Palliative Care Dyspnea Treatment,Hospice and Palliative Care Pain Assessment,Hospice and Palliative Care Pain Screening,Hospice and Palliative Care Treatment Preferences,Late live discharges (% live discharges),Nurse care minutes per routine home care days (minutes),Patient Treated with an Opioid Who Are Given a Bowel Regimen,Per-beneficiary spending (U.S. dollars $),Skilled nursing minutes on weekends (% minutes),Visits near death (% decedents),Latitude,Longitude
AA FAMILY HOSPICE INC,4105 OCEAN VIEW BLVD SUITE D,MONTROSE,CA,91020,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.211341,-118.230652
AAA HOSPICE AND PALLIATIVE CARE LLC,"1100 NW LOOP 410, SUITE 761",SAN ANTONIO,TX,78213,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,29.516395,-98.523017
"AAA HOSPICE CARE & NURSING, INC","229 N CENTRAL AVENUE, SUITE 507",GLENDALE,CA,91203,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.153338,-118.262974
AAA HOSPICE CARE INC,4500 MERCANTILE PLAZA STE 344,FORT WORTH,TX,76137,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,32.859685,-97.291523
AADI  HOME  HEALTH,1001 2ND ST BLDG. 1,CORPUS CHRISTI,TX,78404,100.0,8.3,2.8,0.0,5.6,60.8,10.0,80.7,100.0,100.0,100.0,100.0,100.0,100.0,52.8,10.7,100.0,"20,450",6.6,96.1,27.768022,-97.399136
AADVANTAGE HEALTH & HOSPICE CARE SYSTEMS INC,9100 SOUTHWEST FREEWAY STE#105,HOUSTON,TX,77074,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,29.687947,-95.515725
"AARIEL HOSPICE, INC","5301 LAUREL CANYON BLVD, SUITE 201A",VALLEY VILLAGE,CA,91607,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.165783,-118.399795
AARON-RUBEN-NELSON HOSPICE ,7001 HOOVER ROAD,INDIANAPOLIS,IN,46260,100.0,20.0,0.0,0.0,0.0,44.7,7.0,36.6,92.5,100.0,Not Available,Not Available,100.0,100.0,20.0,11.9,Not Available,"18,301",2.4,87.0,39.898143,-86.177595
AARYN HOSPICE LLC,3411 JEANETTA ST,HOUSTON,TX,77063,100.0,18.2,0.0,0.1,0.0,90.9,8.0,87.0,93.6,97.9,Not Available,Not Available,100.0,100.0,36.4,10.2,Not Available,"19,627",9.2,100,29.736295,-95.523292
AASTA HOSPICE,19350 BUSINESS CENTER DR SUITE 112,NORTHRIDGE,CA,91324,100.0,5.0,5.0,0.6,6.0,67.8,10.0,19.0,86.3,100.0,99.4,82.0,99.4,100.0,51.0,10.5,Not Available,"22,801",8.4,75.2,34.238208,-118.55029
AASTA HOSPICE,1945 LOCKHILL SELMA RD SUITE 204,SAN ANTONIO,TX,78213,100.0,6.7,2.2,0.0,6.7,83.1,8.0,30.3,98.0,100.0,100.0,Not Available,98.0,100.0,60.0,12.6,Not Available,"21,331",7.9,95.1,29.516395,-98.523017
AASTA HOSPICE,2601 NORTH 3RD STREET SUITE 109,PHOENIX,AZ,85004,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,33.451567,-112.069886
AASTA HOSPICE,"2920 F STREET, SUITE 1-10",BAKERSFIELD,CA,93301,100.0,7.8,1.7,0.1,4.3,58.4,10.0,4.8,76.4,100.0,98.0,91.9,100.0,100.0,31.0,9.5,47.7,"24,876",6.9,81.7,35.384336,-119.020562
AASTA HOSPICE,350 WEST 9TH AVENUE SUITE 209,ESCONDIDO,CA,92025,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,87.1,100.0,Not Available,Not Available,96.8,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,33.102005,-117.080419
AASTA HOSPICE,"5924 EAST LOS ANGELES AVENUE, SUITE R",SIMI VALLEY,CA,93063,100.0,7.9,2.6,0.6,5.3,53.8,10.0,2.8,91.0,100.0,96.2,85.7,100.0,100.0,55.3,12.3,Not Available,"18,562",14.3,75.0,34.308729,-118.687223
AASTA HOSPICE,80 WOOD ROAD,CAMARILLO,CA,93010,100.0,0.0,0.0,0.2,0.0,70.0,9.0,2.3,90.5,100.0,Not Available,Not Available,100.0,100.0,73.3,11.5,Not Available,"22,015",19.2,89.1,34.227892,-119.079552
ABBA HOSPICE INC,20955 PATHFINDER RD SUITE 332,DIAMOND BAR,CA,91765,Not Available,3.3,0.0,2.0,3.3,50.0,9.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,40.0,9.9,Not Available,"14,301",26.7,70.4,33.98627,-117.821282
ABBEY HOSPICE,215 AZALEA COURT,SOCIAL CIRCLE,GA,30025,99.7,2.7,1.3,1.8,10.7,59.4,9.0,60.1,90.5,99.7,100.0,95.6,93.1,100.0,60.0,9.2,98.1,"13,238",12.2,98.0,33.655902,-83.696581
"ABBEY ROAD HOSPICE, LLC",5429 BUSH RIVER ROAD,COLUMBIA,SC,29212,83.2,4.3,0.0,0.0,8.7,79.5,9.0,28.1,65.3,98.9,55.9,100.0,100.0,100.0,47.8,6.5,Not Available,"13,357",5.4,77.5,34.076232,-81.198752
ABBOT HOSPICE INC,11010 ARROW ROUTE UNIT 102,RANCHO CUCAMONGA,CA,91730,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.10097,-117.57882
"ABIGAIL HOSPICE, LLC","2790 W GRAND RIVER, SUITE 100",HOWELL,MI,48843,100.0,33.3,0.0,0.0,0.0,40.0,8.0,Not Available,93.1,100.0,Not Available,Not Available,100.0,100.0,33.3,15.7,Not Available,"13,639",5.0,89.5,42.575522,-83.923398
ABILITY HOSPICE,14545 FRIAR ST SUITE 203-2A,VAN NUYS,CA,91411,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.178522,-118.459234
ABILITY HOSPICE,"406 W SOUTH JORDAN PKWY, STE 450",SOUTH JORDAN,UT,84095,98.7,5.3,0.0,0.1,3.5,70.6,9.0,30.8,89.5,98.7,90.9,99.0,98.7,100.0,21.1,7.4,100.0,"16,666",5.9,82.4,40.557499,-111.979453
ABILITY HOSPICE,4710 E FALCON DR STE 201,MESA,AZ,85215,Not Available,10.0,0.0,0.0,0.0,75.3,7.0,25.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,25.0,5.8,Not Available,"20,630",4.0,82.9,33.511896,-111.579396
ABLE CARING AND HOSPICE SERVICES INC,"6201 BONHOMME ROAD, STE 308N",HOUSTON,TX,77036,Not Available,0.0,2.5,0.0,0.0,77.1,7.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,52.5,8.4,Not Available,"20,240",3.3,40.0,29.701847,-95.534537
ABODE HOSPICE OF COLORADO,1050 EAGLERIDGE BLVD,PUEBLO,CO,81008,100.0,10.0,3.3,0.0,13.3,42.5,10.0,77.3,100.0,100.0,100.0,100.0,100.0,100.0,16.7,15.5,100.0,"13,633",5.3,95.0,38.441619,-104.621526
ABODE HOSPICE OF COLORADO,1975 RESEARCH PKWY,COLORADO SPRINGS,CO,80918,100.0,10.6,4.8,0.0,7.7,39.7,10.0,79.5,100.0,100.0,100.0,100.0,100.0,100.0,27.9,14.6,100.0,"13,568",7.6,96.8,38.910393,-104.780362
ABODE HOSPICE OF COLORADO,"445 UNION BLVD, STE 223",LAKEWOOD,CO,80228,100.0,12.5,0.0,0.0,9.4,45.0,10.0,65.6,100.0,100.0,100.0,100.0,100.0,100.0,31.3,11.8,100.0,"14,485",6.6,92.0,39.69499,-105.173144
ABODE HOSPICE OF COLORADO,744 HORIZON CT STE 110,GRAND JUNCTION,CO,81506,100.0,6.7,1.0,0.1,5.8,68.2,10.0,52.1,99.7,100.0,100.0,100.0,99.7,100.0,30.8,14.3,100.0,"19,634",8.4,92.4,39.123368,-108.531757
"ABODE HOSPICE OF NEW MEXICO, LLC","5600 EUBANK BLVD NE, SUITE 120",ALBUQUERQUE,NM,87111,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,35.143913,-106.48746
ABOUNDING HOSPICE CARE INC,310 EAST I-30 # B 108,GARLAND,TX,75043,95.7,10.0,0.0,0.1,20.0,30.9,9.0,55.8,91.3,100.0,92.0,100.0,97.8,100.0,35.0,12.4,Not Available,"24,317",5.0,94.3,32.857447,-96.575798
ABOVE & BEYOND HOSPICE CARE,417 EAST 1ST STREET,MONTICELLO,IA,52310,100.0,0.0,2.4,0.1,7.3,65.8,10.0,58.8,100.0,100.0,100.0,100.0,100.0,100.0,36.6,10.7,100.0,"12,410",7.7,94.3,42.220372,-91.195364
ABOVE AND BEYOND HOSPICE CARE,4774 RIVERSIDE DRIVE SUITE F,CHINO,CA,91710,100.0,4.9,3.7,0.0,2.5,63.4,9.0,25.9,97.3,100.0,99.1,97.8,99.1,100.0,44.4,9.2,Not Available,"22,837",20.6,94.2,34.004468,-117.684697
ABRA HOSPICE,8045 FM 359 SUITE 103,FULSHEAR,TX,77471,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,29.548404,-95.861706
"ABSOLUTE COMPASSION, LLC","6355 RIVERSIDE BLVD, SUITE T",SACRAMENTO,CA,95831,100.0,0.0,0.0,0.0,0.0,14.4,8.0,72.5,100.0,100.0,100.0,100.0,100.0,100.0,60.7,12.5,100.0,"23,257",8.5,97.7,38.493966,-121.529188
"ABSOLUTE HOME HEALTH & HOSPICE, INC","9463 HOLLY RD, SUITE 104",GRAND BLANC,MI,48439,100.0,11.1,6.7,0.0,8.9,61.2,8.0,90.6,95.5,100.0,100.0,91.8,99.6,100.0,37.8,10.4,95.2,"25,515",7.5,100,42.916399,-83.629374
ABSOLUTE HOSPICE, 1261 BUTLER RD TX,LEAGUE CITY ,TX,77573,98.8,16.8,3.5,0.0,1.8,46.2,8.0,46.3,90.6,98.8,100.0,96.5,95.3,100.0,60.2,10.7,97.1,"22,165",6.7,93.8,29.503785,-95.0873
"ABSOLUTE HOSPICE & PALLIATIVE CARE, INC.",17215 STUDEBAKER ROAD SUITE 215,CERRITOS,CA,90703,100.0,8.0,0.0,0.2,8.0,48.4,10.0,Not Available,92.3,100.0,100.0,Not Available,96.2,100.0,40.0,16.6,Not Available,"18,854",7.2,100,33.867743,-118.069472
ABSOLUTE HOSPICE AGENCY LLC,"1554 SOUTH SEPULVEDA BLVD, SUITE 110B",LOS ANGELES,CA,90025,100.0,0.0,0.0,0.1,0.0,50.0,10.0,Not Available,88.6,100.0,100.0,Not Available,100.0,100.0,15.4,13.5,Not Available,"10,015",13.4,85.7,34.045421,-118.445873
ABSOLUTE HOSPICE INC,"4740 MURPHY CANYON ROAD, SUITE 205",SAN DIEGO,CA,92123,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,32.806794,-117.13493
ABSOLUTE HOSPICE INC,7171 KECK PARK CIRCLE NW,NORTH CANTON,OH,44720,99.2,6.3,1.3,0.0,8.8,58.0,9.0,46.1,83.4,98.2,84.7,88.6,95.1,100.0,38.8,10.2,98.8,"14,424",5.5,87.8,40.903454,-81.433282
ABSOLUTE HOSPICE SERVICES,"9463 HOLLY RD, SUITE 103",GRAND BLANC,MI,48439,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,42.916399,-83.629374
"ABSOLUTE PALLIATIVE CARE, LLC",3127 S. EASTERN AVENUE,LAS VEGAS,NV,89169,96.4,0.0,0.0,0.0,0.0,81.7,9.0,Not Available,82.1,82.1,100.0,Not Available,82.1,96.4,51.0,10.6,Not Available,"23,994",13.4,100,36.124179,-115.141282
ABUNDANT HOSPICE SERVICES LLC,1201 N WATSON RD.,ARLINGTON,TX,76006,100.0,28.6,1.8,0.5,0.0,73.4,9.0,46.7,100.0,100.0,100.0,100.0,100.0,100.0,53.6,8.9,Not Available,"25,763",8.2,94.8,32.784931,-97.099915
"ABUNDANT HOSPICE, LLC",12500 SAN PEDRO AVE STE 150,SAN ANTONIO,TX,78216,100.0,4.7,2.3,1.8,11.6,82.4,10.0,65.0,89.4,100.0,96.3,90.4,100.0,100.0,51.2,10.3,Not Available,"8,915",9.6,95.4,29.537264,-98.487882
ACACIA HOSPICE AND PALLIATIVE SERVICES,"11770 WARNER AVE, SUITE 101",FOUNTAIN VALLEY,CA,92708,98.3,9.7,2.8,0.3,9.7,62.4,10.0,54.8,96.0,98.7,99.7,100.0,98.1,99.2,46.5,11.1,100.0,"19,265",6.8,96.0,33.710582,-117.951129
ACACIA HOSPICE CARE OF LAKE HAVASU INC,"1930 MESQUITE AVENUE, SUITE 9",LAKE HAVASU CITY,AZ,86403,Not Available,0.0,0.0,0.0,0.0,51.0,8.0,53.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,25.0,12.6,Not Available,"15,825",5.6,56.3,34.480257,-114.348504
"ACACIA HOSPICE CARE, INC",107 EAST 24TH STREET,YUMA,AZ,85364,Not Available,5.3,3.1,0.0,4.6,43.0,9.0,85.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,48.9,13.2,Not Available,"19,190",6.6,97.0,32.70226,-114.658013
ACADIAN HOSPICE,413 TRAVIS STREET STE 100,LAFAYETTE,LA,70503,100.0,14.8,0.0,0.1,7.4,14.8,10.0,63.3,98.9,100.0,98.2,100.0,100.0,100.0,37.0,15.1,Not Available,"15,408",8.6,95.6,30.170874,-92.054784
ACARA,2809 SOUTH EXPRESSWAY 83,HARLINGEN,TX,78550,Not Available,0.0,0.0,0.0,6.3,35.2,9.0,48.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,37.5,14.5,Not Available,"11,733",6.0,90.3,26.255523,-97.667502
ACARA,9514 CONSOLE DR SUITE 203,SAN ANTONIO,TX,78229,100.0,4.2,0.0,0.0,8.3,44.6,9.0,53.5,98.0,100.0,100.0,100.0,100.0,100.0,29.2,15.4,Not Available,"16,063",6.7,91.5,29.501861,-98.569302
ACARA HOSPICE,601 GRAHAM RD,COLLEGE STATION,TX,77845,99.4,4.2,0.0,0.3,2.1,38.5,10.0,69.9,89.1,100.0,100.0,93.9,92.1,100.0,55.2,12.2,100.0,"16,601",11.4,96.1,30.561385,-96.272583
ACCE HOSPICE CARE AGENCY,101 HAZELNUT TRAIL,FORNEY,TX,75126,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,32.743178,-96.4549
ACCENT CARE HOSPICE & PALLIATIVE CARE OF GEORGIA,"11675 GREAT OAKS WAY, SUITE 310",ALPHARETTA,GA,30022,97.5,20.3,2.7,16.6,14.9,62.1,8.0,56.3,92.5,98.9,97.7,97.6,98.3,99.8,31.1,14.1,98.2,"10,268",10.7,98.1,34.029865,-84.239745
ACCENT CARE HOSPICE & PALLIATIVE CARE OF HILLSBORO,1408 N W SHORE BLVD STE 260,TAMPA,FL,33607,99.9,5.4,1.7,1.9,6.9,86.8,8.0,52.2,99.6,100.0,99.8,99.7,99.9,99.9,42.8,7.3,100.0,"16,192",8.3,92.3,27.962012,-82.492176
ACCENT CARE HOSPICE AND PALLIATIVE CARE OF WI,6737 W WASHINGTON ST  SUITE 2150,WEST ALLIS,WI,53214,97.5,11.2,2.2,6.0,13.4,64.5,10.0,66.3,96.5,100.0,99.2,99.3,99.2,100.0,38.8,15.5,98.7,"16,742",14.1,97.5,43.020327,-88.012871
"ACCENTCARE FAIRVIEW HOSPICE - WEST, LLC",767 EUSTIS STREET #150,SAINT PAUL,MN,55114,99.8,7.2,5.3,1.7,13.4,63.6,9.0,51.0,99.6,99.9,99.6,100.0,99.9,100.0,31.1,10.7,100.0,"14,150",9.3,91.6,44.96669,-93.195072
ACCENTCARE HEALTH,2950 50TH (HOS),LUBBOCK,TX,79413,99.5,6.8,1.7,0.0,5.1,54.8,10.0,71.8,98.9,100.0,100.0,99.1,100.0,100.0,37.3,11.7,100.0,"17,953",5.8,93.6,33.547402,-101.885644
ACCENTCARE HOSPICE & PALLIATICE CARE OF CALIFORNIA,"16745 WEST BERNARDO DRIVE, SUITE 240",SAN DIEGO,CA,92127,100.0,10.2,1.7,0.2,8.5,62.7,10.0,55.9,95.5,99.1,91.3,100.0,99.1,100.0,45.8,14.3,96.2,"18,424",8.2,90.5,33.011833,-117.132686
ACCENTCARE HOSPICE & PALLIATIVE CARE OF BROWARD CO,1200 S PINE ISLAND RD STE 300,PLANTATION,FL,33324,99.9,14.9,3.0,7.1,10.3,75.3,10.0,33.3,99.5,99.9,99.6,100.0,99.9,100.0,36.2,15.9,100.0,"13,475",15.6,96.4,26.112485,-80.27494
ACCENTCARE HOSPICE & PALLIATIVE CARE OF CA - OAKLA,"7677 OAKPORT STREET, SUITE 500",OAKLAND,CA,94621,100.0,20.0,0.0,0.1,13.3,62.7,9.0,47.7,100.0,100.0,100.0,100.0,100.0,100.0,50.0,16.8,100.0,"22,208",8.9,89.9,37.748272,-122.216825
ACCENTCARE HOSPICE & PALLIATIVE CARE OF CA- SACTO,"2295 GATEWAY OAKS DRIVE, SUITE 165",SACRAMENTO,CA,95833,100.0,4.5,0.0,0.0,6.0,61.4,10.0,47.6,99.1,99.6,100.0,100.0,99.6,100.0,56.7,13.1,100.0,"20,848",9.8,91.8,38.619049,-121.517552
ACCENTCARE HOSPICE & PALLIATIVE CARE OF CALIFORNIA,"3110 GUASTI ROAD, SUITE 315",ONTARIO,CA,91761,100.0,11.3,0.8,0.0,11.3,77.6,10.0,33.2,99.3,99.6,100.0,100.0,99.3,100.0,49.2,9.9,100.0,"21,432",7.4,93.9,34.035602,-117.591528
ACCENTCARE HOSPICE & PALLIATIVE CARE OF CALIFORNIA,"320  W ARDEN  AVE, SUITE 100",GLENDALE,CA,91203,99.1,7.3,4.1,4.2,17.1,68.1,9.0,50.5,95.1,99.9,99.3,96.6,98.8,100.0,40.7,14.6,100.0,"11,190",7.3,97.4,34.153338,-118.262974
ACCENTCARE HOSPICE & PALLIATIVE CARE OF CALIFORNIA,"750 THE CITY DRIVE SOUTH, SUITE 120",ORANGE,CA,92868,100.0,2.7,0.0,0.1,9.3,71.9,10.0,45.6,99.1,100.0,100.0,100.0,99.1,100.0,44.0,11.6,100.0,"19,581",7.6,90.8,33.788145,-117.87655
ACCENTCARE HOSPICE & PALLIATIVE CARE OF COLORADO,9191 SHERIDAN BLVD STE 103,WESTMINSTER,CO,80031,99.3,1.8,0.0,2.0,14.3,74.7,9.0,58.4,98.3,100.0,98.6,99.5,100.0,100.0,35.7,11.9,100.0,"9,896",7.0,96.4,39.873832,-105.038659
ACCENTCARE HOSPICE & PALLIATIVE CARE OF CONECTICUT,"1579 STRAITS TNPK, UNIT 1E",MIDDLEBURY,CT,06762,99.8,9.9,3.1,1.7,9.3,72.6,10.0,46.8,99.8,100.0,100.0,100.0,99.8,100.0,44.1,9.7,100.0,"16,913",6.2,90.0,41.530545,-73.121576
ACCENTCARE HOSPICE & PALLIATIVE CARE OF HOUSTON - ,10318 LAKE RD BLDG C,HOUSTON,TX,77070,100.0,4.9,3.0,0.3,8.4,82.4,10.0,45.8,99.9,100.0,100.0,100.0,99.9,100.0,47.3,8.8,100.0,"19,774",5.4,88.6,29.979648,-95.572877
ACCENTCARE HOSPICE & PALLIATIVE CARE OF HOUSTON - ,16350 PARK TEN PL STE 102,HOUSTON,TX,77084,100.0,12.2,5.4,0.1,13.5,45.4,9.0,35.8,99.4,99.4,100.0,100.0,100.0,100.0,20.3,13.1,100.0,"11,166",10.8,88.3,29.827486,-95.65992
ACCENTCARE HOSPICE & PALLIATIVE CARE OF HOUSTON - ,8876 GULF FREEWAY STE 350,HOUSTON,TX,77017,100.0,14.5,0.0,0.1,12.9,69.1,10.0,40.2,99.5,100.0,99.1,100.0,100.0,100.0,33.9,10.3,100.0,"17,414",6.1,85.2,29.689824,-95.252393
ACCENTCARE HOSPICE & PALLIATIVE CARE OF ILLINOIS,6400 SHAFER COURT,ROSEMONT,IL,60018,99.9,4.9,3.1,4.3,12.2,76.1,10.0,42.3,99.8,100.0,100.0,99.9,100.0,100.0,33.3,10.3,99.8,"13,442",9.5,91.3,41.979388,-87.894358
ACCENTCARE HOSPICE & PALLIATIVE CARE OF KING COUNT,15 S GRADY WAY STE 433,RENTON,WA,98507,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,
ACCENTCARE HOSPICE & PALLIATIVE CARE OF MARYLAND,"5457 TWIN KNOLLS ROAD, SUITE 100",COLUMBIA,MD,21045,99.9,10.5,1.8,3.5,9.1,72.6,10.0,40.6,99.4,99.9,99.5,99.9,99.9,100.0,35.6,12.2,99.9,"12,517",6.6,90.3,39.206042,-76.828234
ACCENTCARE HOSPICE & PALLIATIVE CARE OF MASSACHUSE,"1 EDGEWATER DRIVE, SUITE 103",NORWOOD,MA,02062,99.8,14.3,5.2,4.7,17.7,74.5,9.0,49.6,99.7,99.9,99.8,99.9,100.0,99.9,30.7,9.0,100.0,"15,638",8.9,93.2,42.18736,-71.195955
ACCENTCARE HOSPICE & PALLIATIVE CARE OF MISSOURI,3660 S GEYER ROAD - SUITE 120,SAINT LOUIS,MO,63127,100.0,9.1,1.4,0.0,3.3,71.0,10.0,57.8,100.0,100.0,100.0,100.0,100.0,100.0,39.9,12.3,100.0,"16,917",8.3,91.6,38.534493,-90.417387
ACCENTCARE HOSPICE & PALLIATIVE CARE OF MS,"3500 LAKELAND DRIVE, SUITE 515",FLOWOOD,MS,39232,99.7,19.0,6.1,0.0,4.8,55.2,8.0,69.7,99.7,100.0,100.0,100.0,99.9,100.0,34.7,9.3,100.0,"16,502",6.6,93.7,32.330662,-90.091792
ACCENTCARE HOSPICE & PALLIATIVE CARE OF NASHVILLE.,"741 COOL SPRINGS BOULEVARD, SUITE 102",FRANKLIN,TN,37067,100.0,16.5,0.0,0.1,10.7,40.4,10.0,62.2,100.0,100.0,100.0,100.0,100.0,100.0,28.9,8.3,100.0,"20,141",4.7,89.5,35.91229,-86.780262
ACCENTCARE HOSPICE & PALLIATIVE CARE OF NORTHERN C,"400 RACE STREET, SUITE 101",SAN JOSE,CA,95126,99.3,15.3,0.0,1.0,8.5,51.0,10.0,57.1,99.3,100.0,100.0,100.0,100.0,100.0,54.2,16.5,100.0,"23,445",12.5,95.5,37.326791,-121.916745
ACCENTCARE HOSPICE & PALLIATIVE CARE OF OREGON,"6500 S MACADAM AVENUE, SUITE 160",PORTLAND,OR,97239,100.0,2.0,2.0,2.6,12.2,76.7,10.0,50.8,97.9,100.0,98.6,100.0,98.9,100.0,44.9,11.0,97.5,"12,870",10.6,93.7,45.489938,-122.690453
